VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-04-30 20:48:23,2023-04-30 21:22:04,1,16.64,1,N,132,85,1,66.0,1.0,0.5,0.0,0.0,1,70.25,0.0,1.75
1,2023-04-30 20:03:05,2023-04-30 20:22:01,1,9.1,1,N,138,107,1,36.6,10.25,0.5,10.98,6.55,1,65.88,2.5,1.75
1,2023-04-30 20:30:35,2023-04-30 20:56:08,1,14.1,1,N,148,21,1,54.1,3.5,0.5,5.0,0.0,1,64.1,2.5,0.0
2,2023-04-30 20:09:27,2023-04-30 20:23:16,1,6.35,1,N,48,116,1,27.5,1.0,0.5,6.5,0.0,1,39.0,2.5,0.0
2,2023-04-30 20:30:13,2023-04-30 20:50:39,1,7.3,1,N,138,166,1,31.7,6.0,0.5,9.15,6.55,1,56.65,0.0,1.75
1,2023-04-30 20:28:38,2023-04-30 20:57:42,1,18.8,2,N,132,79,1,70.0,2.5,0.5,18.5,0.0,1,92.5,2.5,0.0
2,2023-04-30 20:18:03,2023-04-30 20:35:52,1,4.81,1,N,249,189,2,23.3,1.0,0.5,0.0,0.0,1,28.3,2.5,0.0
2,2023-04-30 20:21:15,2023-04-30 20:41:37,1,10.71,1,N,132,70,1,42.2,1.0,0.5,11.61,0.0,1,58.06,0.0,1.75
2,2023-04-30 20:23:00,2023-04-30 20:56:36,2,20.33,2,N,132,238,1,70.0,0.0,0.5,20.14,6.55,1,100.69,2.5,0.0
1,2023-04-30 20:27:54,2023-04-30 20:42:52,1,5.4,1,N,138,157,2,24.7,7.75,0.5,0.0,0.0,1,33.95,0.0,1.75
2,2023-04-30 20:04:03,2023-04-30 20:13:07,1,1.62,1,N,141,230,1,10.7,1.0,0.5,3.14,0.0,1,18.84,2.5,0.0
2,2023-04-30 20:15:33,2023-04-30 20:30:20,1,1.47,1,N,230,162,2,14.9,1.0,0.5,0.0,0.0,1,19.9,2.5,0.0
2,2023-04-30 20:12:07,2023-04-30 20:14:22,1,0.83,1,N,90,100,1,5.8,1.0,0.5,1.0,0.0,1,11.8,2.5,0.0
2,2023-04-30 20:23:00,2023-04-30 20:29:42,2,2.28,1,N,234,48,1,10.7,1.0,0.5,3.14,0.0,1,18.84,2.5,0.0
1,2023-04-30 20:04:34,2023-04-30 20:14:03,1,2.6,1,N,163,68,1,12.8,3.5,0.5,3.55,0.0,1,21.35,2.5,0.0
1,2023-04-30 20:14:08,2023-04-30 20:26:14,1,2.5,1,N,68,87,1,12.8,3.5,0.5,3.55,0.0,1,21.35,2.5,0.0
1,2023-04-30 20:53:22,2023-04-30 21:01:23,1,1.8,1,N,90,230,1,10.0,3.5,0.5,3.0,0.0,1,18.0,2.5,0.0
2,2023-04-30 20:32:50,2023-04-30 20:52:57,1,10.03,1,N,138,61,1,40.8,6.0,0.5,0.0,0.0,1,50.05,0.0,1.75
2,2023-04-30 20:30:24,2023-04-30 20:42:38,1,3.49,1,N,79,50,1,17.0,1.0,0.5,6.6,0.0,1,28.6,2.5,0.0
1,2023-04-30 20:01:54,2023-04-30 20:21:46,1,9.4,1,N,138,49,1,37.3,7.75,0.5,9.3,0.0,1,55.85,0.0,1.75
1,2023-04-30 20:46:31,2023-04-30 21:02:20,2,7.6,1,N,138,145,1,30.3,7.75,0.5,7.9,0.0,1,47.45,0.0,1.75
2,2023-04-30 20:14:40,2023-04-30 20:30:30,1,9.09,1,N,163,127,1,35.9,1.0,0.5,4.09,0.0,1,44.99,2.5,0.0
1,2023-04-30 20:00:39,2023-04-30 20:05:21,1,1.3,1,N,264,186,1,8.6,3.5,0.5,0.0,0.0,1,13.6,2.5,0.0
2,2023-04-30 19:55:20,2023-04-30 20:31:52,1,20.55,2,N,132,239,1,70.0,0.0,0.5,16.46,6.55,1,98.76,2.5,1.75
2,2023-04-30 20:24:40,2023-04-30 20:40:39,1,4.45,1,N,138,82,1,21.9,6.0,0.5,5.55,0.0,1,36.7,0.0,1.75
2,2023-04-30 20:21:47,2023-04-30 20:33:11,1,4.21,1,N,138,92,1,19.1,6.0,0.5,5.32,0.0,1,33.67,0.0,1.75
2,2023-04-30 20:53:47,2023-04-30 21:16:55,2,18.27,2,N,132,263,1,70.0,0.0,0.5,19.51,6.55,1,99.31,0.0,1.75
2,2023-04-30 20:12:52,2023-04-30 20:43:18,1,11.29,1,N,132,225,1,47.8,1.0,0.5,4.0,0.0,1,54.3,0.0,0.0
2,2023-04-30 20:18:57,2023-04-30 20:19:23,1,0.06,2,N,170,170,1,70.0,0.0,0.5,15.0,6.55,1,95.55,2.5,0.0
2,2023-04-30 20:11:49,2023-04-30 20:36:31,1,11.1,1,N,138,163,1,45.7,6.0,0.5,5.0,6.55,1,69.0,2.5,1.75
1,2023-04-30 20:21:43,2023-04-30 20:43:23,1,11.4,1,N,138,181,1,45.0,7.75,0.5,10.85,0.0,1,65.1,0.0,1.75
1,2023-04-30 20:23:44,2023-04-30 20:26:00,1,0.6,1,N,132,132,3,5.1,1.0,0.5,0.0,0.0,1,7.6,0.0,0.0
1,2023-04-30 20:26:39,2023-04-30 20:51:38,1,16.7,2,N,132,224,1,70.0,2.5,0.5,10.0,6.55,1,90.55,2.5,0.0
2,2023-04-30 20:21:22,2023-04-30 20:43:05,1,8.1,1,N,125,152,1,35.2,1.0,0.5,8.04,0.0,1,48.24,2.5,0.0
2,2023-04-30 20:09:30,2023-04-30 20:14:03,1,1.68,1,N,170,79,1,8.6,1.0,0.5,2.72,0.0,1,16.32,2.5,0.0
2,2023-04-30 20:19:43,2023-04-30 20:35:20,1,6.57,1,N,79,236,1,28.2,1.0,0.5,6.64,0.0,1,39.84,2.5,0.0
2,2023-04-30 20:08:25,2023-04-30 20:27:36,1,6.07,1,N,90,75,1,27.5,1.0,0.5,6.5,0.0,1,39.0,2.5,0.0
2,2023-04-30 20:23:12,2023-04-30 20:26:43,5,1.19,1,N,162,137,1,7.2,1.0,0.5,3.66,0.0,1,15.86,2.5,0.0
1,2023-04-30 20:08:16,2023-04-30 20:33:11,1,12.5,1,N,138,265,1,48.5,7.75,0.5,11.55,0.0,1,69.3,0.0,1.75
2,2023-04-30 20:05:28,2023-04-30 20:39:50,1,18.32,2,N,132,90,1,70.0,0.0,0.5,9.05,6.55,1,91.35,2.5,1.75
2,2023-04-30 20:06:47,2023-04-30 20:35:49,2,16.93,1,N,132,256,1,63.9,1.0,0.5,13.28,0.0,1,81.43,0.0,1.75
1,2023-04-30 20:21:27,2023-04-30 20:26:25,1,1.2,1,N,249,231,1,7.9,3.5,0.5,2.55,0.0,1,15.45,2.5,0.0
1,2023-04-30 20:35:32,2023-04-30 20:51:48,1,3.3,1,N,186,140,1,19.8,3.5,0.5,1.0,0.0,1,25.8,2.5,0.0
2,2023-04-30 20:13:22,2023-04-30 20:28:45,1,9.44,1,N,138,229,1,36.6,6.0,0.5,10.63,6.55,1,65.53,2.5,1.75
2,2023-04-30 20:08:45,2023-04-30 20:16:31,1,1.66,1,N,236,143,1,10.7,1.0,0.5,3.14,0.0,1,18.84,2.5,0.0
2,2023-04-30 20:35:15,2023-04-30 21:12:02,1,22.87,1,N,132,259,1,85.6,1.0,0.5,0.0,6.55,1,96.4,0.0,1.75
1,2023-04-30 20:07:24,2023-04-30 20:34:16,1,17.1,1,N,132,21,1,64.6,2.75,0.5,0.0,0.0,1,68.85,0.0,1.75
2,2023-04-30 20:36:36,2023-04-30 20:51:07,2,8.32,1,N,70,137,1,32.4,6.0,0.5,10.14,6.55,1,60.84,2.5,1.75
2,2023-04-30 20:03:17,2023-04-30 20:17:33,1,6.57,1,N,236,244,1,27.5,1.0,0.5,6.5,0.0,1,39.0,2.5,0.0
2,2023-04-30 20:38:20,2023-04-30 20:49:28,1,3.14,1,N,236,246,1,15.6,1.0,0.5,2.0,0.0,1,22.6,2.5,0.0
2,2023-04-30 20:52:51,2023-04-30 21:07:30,1,3.5,1,N,246,4,2,18.4,1.0,0.5,0.0,0.0,1,23.4,2.5,0.0
1,2023-04-30 20:16:01,2023-04-30 20:38:48,1,6.4,1,N,246,230,1,27.5,3.5,0.5,5.0,0.0,1,37.5,2.5,0.0
2,2023-04-30 20:49:30,2023-04-30 21:04:14,2,8.18,1,N,132,95,2,32.4,1.0,0.5,0.0,0.0,1,36.65,0.0,1.75
2,2023-04-30 20:28:37,2023-04-30 21:02:59,2,20.14,2,N,132,13,1,70.0,0.0,0.5,15.15,0.0,1,90.9,2.5,1.75
1,2023-04-30 20:09:51,2023-04-30 20:31:24,1,5.9,1,N,237,223,1,26.8,3.5,0.5,6.0,0.0,1,37.8,2.5,0.0
1,2023-04-30 20:43:05,2023-04-30 21:10:09,1,11.4,1,N,138,61,1,47.1,7.75,0.5,11.25,0.0,1,67.6,0.0,1.75
2,2023-04-30 20:04:18,2023-04-30 20:28:19,1,6.31,1,N,79,151,1,31.0,1.0,0.5,9.0,0.0,1,45.0,2.5,0.0
