VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,"5/1/2023, 7:19:20 AM","5/1/2023, 7:30:09 AM",N,1,95,197,2,1.95,12.1,0,0.5,0,0,-,1,13.6,2,1,0
2,"5/1/2023, 7:02:10 AM","5/1/2023, 7:08:19 AM",N,1,25,25,1,0.9,7.2,0,0.5,0,0,-,1,8.7,2,1,0
2,"5/1/2023, 7:23:20 AM","5/1/2023, 7:27:44 AM",N,1,43,236,1,0.62,5.8,0,0.5,2,0,-,0.3,11.35,1,1,2.75
2,"5/1/2023, 7:45:34 AM","5/1/2023, 8:06:41 AM",N,1,116,244,1,3.23,21.9,0,0.5,0,0,-,1,23.4,2,1,0
2,"5/1/2023, 7:08:50 AM","5/1/2023, 7:26:01 AM",N,1,116,236,3,4.41,21.2,0,0.5,0,0,-,0.3,24.75,2,1,2.75
2,"5/1/2023, 7:57:47 AM","5/1/2023, 8:18:12 AM",N,1,145,256,1,3.1,20.5,0,0.5,0,0,-,1,22,2,1,0
1,"5/1/2023, 7:38:46 AM","5/1/2023, 7:48:31 AM",N,1,74,152,1,1.4,10,0,1.5,1,0,-,1,12.5,1,1,0
2,"5/1/2023, 7:11:57 AM","5/1/2023, 7:24:48 AM",N,1,166,75,5,1.7,13.5,0,0.5,0,0,-,1,15,2,1,0
2,"5/1/2023, 7:32:57 AM","5/1/2023, 8:00:07 AM",N,1,43,161,5,2.9,24,0,0.5,5,0,-,1,33.25,1,1,2.75
2,"5/1/2023, 7:30:02 AM","5/1/2023, 7:34:12 AM",N,1,43,75,1,0.4,5.8,0,0.5,0,0,-,1,7.3,2,1,0
2,"5/1/2023, 7:35:39 AM","5/1/2023, 8:10:13 AM",N,1,75,95,1,12.45,53.4,0,0.5,0,6.55,-,1,61.45,2,1,0
2,"5/1/2023, 7:16:19 AM","5/1/2023, 7:28:04 AM",N,1,95,138,1,5.05,21.9,5,0.5,0,0,-,1,28.4,2,1,0
2,"5/1/2023, 7:42:18 AM","5/1/2023, 7:54:17 AM",N,1,97,181,2,2.1,13.5,0,0.5,0,0,-,1,15,2,1,0
2,"5/1/2023, 7:53:41 AM","5/1/2023, 8:18:02 AM",N,1,75,232,1,7.01,33.8,0,0.5,0,0,-,1,38.05,2,1,2.75
1,"5/1/2023, 7:45:41 AM","5/1/2023, 7:45:42 AM",N,1,25,25,1,0,21.5,0,1.5,0,0,-,1,23,1,1,0
2,"5/1/2023, 7:29:58 AM","5/1/2023, 7:56:11 AM",N,1,41,230,2,3.79,25.4,0,0.5,2,0,-,1,31.65,1,1,2.75
2,"5/1/2023, 7:14:43 AM","5/1/2023, 7:33:03 AM",N,1,74,236,1,2.43,18.4,0,0.5,4.53,0,-,1,27.18,1,1,2.75
2,"5/1/2023, 7:46:40 AM","5/1/2023, 8:00:42 AM",N,1,75,116,1,2.86,16.3,0,0.5,0,0,-,1,17.8,2,1,0
2,"5/1/2023, 7:50:23 AM","5/1/2023, 8:04:59 AM",N,1,82,160,1,2.64,15.6,0,0.5,3,0,-,1,20.1,1,1,0
2,"5/1/2023, 7:03:31 AM","5/1/2023, 7:15:08 AM",N,1,244,200,1,5.3,23.3,0,0.5,5.56,3,-,1,33.36,1,1,0
2,"5/1/2023, 7:36:22 AM","5/1/2023, 7:51:27 AM",N,1,41,236,1,1.89,14.9,0,0.5,0,0,-,1,19.15,2,1,2.75
2,"5/1/2023, 7:32:31 AM","5/1/2023, 7:51:36 AM",N,1,74,244,1,3.04,19.1,0,0.5,5.15,0,-,1,25.75,1,1,0
2,"5/1/2023, 7:22:56 AM","5/1/2023, 8:05:21 AM",N,1,43,186,1,4.58,34.5,0,0.5,0,0,-,1,38.75,2,1,2.75
1,"5/1/2023, 7:38:06 AM","5/1/2023, 7:54:20 AM",N,1,75,152,1,2.6,14.9,0,1.5,4.9,0,-,1,21.3,1,1,0
1,"5/1/2023, 7:56:13 AM","5/1/2023, 8:03:43 AM",N,1,116,244,1,1.1,8.6,0,1.5,2,0,-,1,12.1,1,1,0
2,"5/1/2023, 6:59:39 AM","5/1/2023, 7:09:30 AM",N,1,41,42,1,1.81,12.1,0,0.5,0,0,-,1,13.6,1,1,0
2,"5/1/2023, 7:40:23 AM","5/1/2023, 7:49:47 AM",N,1,74,236,1,1.9,11.4,0,0.5,2,0,-,1,17.65,1,1,2.75
2,"5/1/2023, 7:40:31 AM","5/1/2023, 7:50:44 AM",N,1,75,152,1,2.48,12.8,0,0.5,4.29,0,-,1,18.59,1,1,0
2,"5/1/2023, 7:33:00 AM","5/1/2023, 7:41:24 AM",N,1,244,166,5,2.68,13.5,0,0.5,0,0,-,1,15,2,1,0
2,"5/1/2023, 7:36:28 AM","5/1/2023, 7:52:47 AM",N,1,74,244,1,3.18,18.4,0,0.5,0,0,-,1,19.9,1,1,0
2,"5/1/2023, 7:52:06 AM","5/1/2023, 8:13:17 AM",N,1,95,198,1,3.47,21.9,0,0.5,0,0,-,1,23.4,2,1,0
2,"5/1/2023, 7:36:32 AM","5/1/2023, 7:50:23 AM",N,1,83,226,1,2.73,15.6,0,0.5,0,0,-,1,17.1,2,1,0
2,"5/1/2023, 7:43:02 AM","5/1/2023, 7:52:06 AM",N,1,166,238,1,1.62,10.7,0,0.5,0,0,-,1,14.95,2,1,2.75
2,"5/1/2023, 7:14:10 AM","5/1/2023, 7:28:50 AM",N,1,74,236,1,2.23,14.9,0,0.5,0,0,-,1,19.15,2,1,2.75
2,"5/1/2023, 7:24:47 AM","5/1/2023, 7:37:21 AM",N,1,52,97,1,1.9,13.5,0,0.5,3,0,-,1,18,1,1,0
2,"5/1/2023, 7:24:31 AM","5/1/2023, 7:33:37 AM",N,1,41,42,1,1.33,10.7,0,0.5,0,0,-,1,12.2,2,1,0
2,"5/1/2023, 7:39:33 AM","5/1/2023, 7:49:13 AM",N,1,74,166,1,1.29,10.7,0,0.5,2.44,0,-,1,14.64,1,1,0
2,"5/1/2023, 7:36:04 AM","5/1/2023, 8:01:52 AM",N,1,75,48,1,3.66,24.7,0,0.5,5.79,0,-,1,34.74,1,1,2.75
2,"5/1/2023, 7:38:30 AM","5/1/2023, 8:00:11 AM",N,1,129,138,1,3.88,24,5,0.5,3.5,0,-,1,34,1,1,0
2,"5/1/2023, 7:38:50 AM","5/1/2023, 7:53:23 AM",N,1,74,239,1,3.2,17,0,0.5,4.25,0,-,1,25.5,1,1,2.75
2,"5/1/2023, 7:00:39 AM","5/1/2023, 7:09:16 AM",N,1,260,129,1,0.98,9.3,0,0.5,5,0,-,1,15.8,1,1,0
2,"5/1/2023, 7:44:41 AM","5/1/2023, 7:57:21 AM",N,1,43,239,1,2.28,13.5,0,0.5,0,0,-,1,17.75,2,1,2.75
1,"5/1/2023, 7:19:12 AM","5/1/2023, 7:45:04 AM",N,1,42,239,1,0,21.5,0,1.5,0,0,-,1,23,1,1,0
1,"5/1/2023, 7:48:48 AM","5/1/2023, 7:51:26 AM",N,1,75,75,1,0.7,5.8,0,1.5,1.8,0,-,1,9.1,1,1,0
2,"5/1/2023, 4:50:06 AM","5/1/2023, 5:05:02 AM",N,1,74,138,1,6.66,27.5,5,0.5,8.11,6.55,-,1,48.66,1,1,0
2,"5/1/2023, 7:40:40 AM","5/1/2023, 7:47:18 AM",N,1,43,166,1,0.96,8.6,0,0.5,0,0,-,1,10.1,2,1,0
2,"5/1/2023, 7:47:55 AM","5/1/2023, 7:57:25 AM",N,1,166,238,1,1.63,11.4,0,0.5,0,0,-,1,15.65,2,1,2.75
2,"5/1/2023, 7:46:08 AM","5/1/2023, 8:02:04 AM",N,1,260,138,1,3.99,20.5,5,0.5,0,0,-,1,27,1,1,0
2,"5/1/2023, 7:32:26 AM","5/1/2023, 7:47:33 AM",N,1,74,238,1,2.29,15.6,0,0.5,3.42,0,-,1,20.52,1,1,0
2,"5/1/2023, 7:59:09 AM","5/1/2023, 8:03:52 AM",N,1,166,166,1,0.73,7.2,0,0.5,2.18,0,-,1,10.88,1,1,0
2,"5/1/2023, 7:43:26 AM","5/1/2023, 7:50:51 AM",N,1,166,41,1,1.26,8.6,0,0.5,2,0,-,1,12.1,1,1,0
2,"5/1/2023, 7:30:29 AM","5/1/2023, 7:35:48 AM",N,1,41,42,1,0.96,7.9,0,0.5,0,0,-,1,9.4,2,1,0
2,"5/1/2023, 7:41:45 AM","5/1/2023, 7:51:57 AM",N,1,42,43,1,1.81,12.1,0,0.5,0.7,0,-,1,14.3,1,1,0
2,"5/1/2023, 7:55:04 AM","5/1/2023, 8:06:43 AM",N,1,43,238,1,1.6,12.8,0,0.5,0,0,-,1,17.05,2,1,2.75
2,"5/1/2023, 7:53:31 AM","5/1/2023, 8:11:02 AM",N,1,95,121,2,0,14.9,0,0.5,0,0,-,1,16.4,2,1,0
2,"5/1/2023, 7:24:00 AM","5/1/2023, 7:28:39 AM",N,1,43,238,2,0.82,7.2,0,0.5,0,0,-,1,11.45,2,1,2.75
2,"5/1/2023, 7:46:10 AM","5/1/2023, 8:11:32 AM",N,1,75,161,2,2.83,22.6,0,0.5,4,0,-,1,30.85,1,1,2.75
2,"5/1/2023, 7:12:39 AM","5/1/2023, 7:22:42 AM",N,5,92,135,1,1.66,20,0,0,0,0,-,1,21,2,2,0
2,"5/1/2023, 8:01:06 AM","5/1/2023, 8:11:43 AM",N,1,43,239,1,2.02,12.8,0,0.5,3.41,0,-,1,20.46,1,1,2.75
2,"5/1/2023, 7:05:29 AM","5/1/2023, 7:15:35 AM",N,1,116,166,1,2.18,11.4,0,0.5,0,0,-,1,12.9,2,1,0
2,"5/1/2023, 7:22:25 AM","5/1/2023, 7:52:18 AM",N,1,24,161,1,3.71,27.5,0,0.5,3.18,0,-,1,34.93,1,1,2.75
2,"5/1/2023, 7:20:21 AM","5/1/2023, 7:40:32 AM",N,1,17,255,1,2.82,19.8,0,0.5,2,0,-,1,23.3,1,1,0
2,"5/1/2023, 8:22:48 AM","5/1/2023, 8:23:30 AM",N,1,207,207,5,0,3,0,0.5,0,0,-,1,4.5,2,1,0
2,"5/1/2023, 7:05:06 AM","5/1/2023, 7:21:14 AM",N,1,65,144,1,2.6,17.7,0,0.5,4.39,0,-,1,26.34,1,1,2.75
1,"5/1/2023, 7:56:17 AM","5/1/2023, 8:03:02 AM",N,1,75,75,1,0.8,7.9,0,1.5,0,0,-,1,9.4,1,1,0
2,"5/1/2023, 7:14:41 AM","5/1/2023, 7:26:41 AM",N,1,82,138,2,3.9,18.4,5,0.5,0,0,-,1,24.9,2,1,0
2,"5/1/2023, 7:12:50 AM","5/1/2023, 7:23:17 AM",N,1,74,166,2,1.94,11.4,0,0.5,0,0,-,1,12.9,2,1,0
2,"5/1/2023, 7:58:37 AM","5/1/2023, 8:06:30 AM",N,1,95,28,1,1.84,10.7,0,0.5,0,0,-,1,12.2,2,1,0
1,"5/1/2023, 7:13:16 AM","5/1/2023, 7:27:44 AM",N,1,25,97,1,0,16.7,0,0,0,0,-,0,16.7,1,1,0
2,"5/1/2023, 7:20:04 AM","5/1/2023, 7:44:22 AM",N,1,75,168,1,3.16,24,0,0.5,5.1,0,-,1,30.6,1,1,0
2,"5/1/2023, 7:34:12 AM","5/1/2023, 7:47:29 AM",N,1,74,116,1,2.15,14.2,0,0.5,3.14,0,-,1,18.84,1,1,0
2,"5/1/2023, 7:19:10 AM","5/1/2023, 7:35:58 AM",N,1,168,229,1,5.9,24.7,0,0.5,0,0,-,1,28.95,2,1,2.75
2,"5/1/2023, 7:53:32 AM","5/1/2023, 7:54:18 AM",N,1,42,42,2,0.07,-3,0,-0.5,0,0,-,-1,-4.5,4,1,0
2,"5/1/2023, 7:53:32 AM","5/1/2023, 7:54:18 AM",N,1,42,42,2,0.07,3,0,0.5,0,0,-,1,4.5,4,1,0
2,"5/1/2023, 7:51:51 AM","5/1/2023, 8:06:46 AM",N,1,95,121,1,2.38,15.6,0,0.5,3.42,0,-,1,20.52,1,1,0
2,"5/1/2023, 7:31:51 AM","5/1/2023, 7:42:22 AM",N,1,74,236,1,2.1,12.8,0,0.5,3.41,0,-,1,20.46,1,1,2.75
2,"5/1/2023, 7:48:59 AM","5/1/2023, 7:58:09 AM",N,1,95,95,1,0.95,10,0,0.5,0,0,-,1,11.5,2,1,0
2,"5/1/2023, 7:33:12 AM","5/1/2023, 7:51:01 AM",N,1,74,244,1,2.7,18.4,0,0.5,4.98,0,-,1,24.88,1,1,0
1,"5/1/2023, 7:34:35 AM","5/1/2023, 7:57:28 AM",N,1,33,181,1,2.8,19.1,0,1.5,0,0,-,1,20.6,2,1,0
2,"5/1/2023, 7:31:42 AM","5/1/2023, 7:42:40 AM",N,1,95,95,2,1.26,11.4,0,0.5,0,0,-,1,12.9,2,1,0
2,"5/1/2023, 7:41:58 AM","5/1/2023, 7:47:55 AM",N,1,7,7,1,0.82,7.2,0,0.5,0,0,-,1,8.7,2,1,0
2,"5/1/2023, 7:21:05 AM","5/1/2023, 7:26:19 AM",N,1,41,151,2,1.19,7.9,0,0.5,1.88,0,-,1,11.28,1,1,0
2,"5/1/2023, 7:51:56 AM","5/1/2023, 8:11:38 AM",N,1,74,237,1,3.06,20.5,0,0.5,3,0,-,1,27.75,1,1,2.75
2,"5/1/2023, 7:29:17 AM","5/1/2023, 7:33:27 AM",N,1,260,83,1,0.8,6.5,0,0.5,0,0,-,1,8,1,1,0
2,"5/1/2023, 7:11:33 AM","5/1/2023, 7:24:04 AM",N,1,74,159,1,2.11,14.2,0,0.5,0,0,-,1,15.7,2,1,0
2,"5/1/2023, 7:30:40 AM","5/1/2023, 7:31:55 AM",N,1,159,159,1,0.02,3.7,0,0.5,0,0,-,1,5.2,2,1,0
2,"5/1/2023, 7:36:40 AM","5/1/2023, 7:48:42 AM",N,1,130,132,1,4.74,20.5,0,0.5,0,0,-,0.3,21.3,1,1,0
2,"5/1/2023, 7:25:25 AM","5/1/2023, 7:31:38 AM",N,1,43,236,1,0.79,7.9,0,0.5,1,0,-,1,13.15,1,1,2.75
2,"5/1/2023, 7:31:57 AM","5/1/2023, 7:51:32 AM",N,1,83,129,1,2.57,18.4,0,0.5,0,0,-,1,19.9,2,1,0
2,"5/1/2023, 7:37:14 AM","5/1/2023, 7:48:01 AM",N,1,74,236,1,1.94,12.1,0,0.5,3.27,0,-,1,19.62,1,1,2.75
2,"5/1/2023, 7:09:42 AM","5/1/2023, 7:25:06 AM",N,1,82,138,1,3.86,20.5,5,0.5,3,0,-,1,30,1,1,0
2,"5/1/2023, 7:54:54 AM","5/1/2023, 8:15:45 AM",N,1,83,102,1,3.55,21.2,0,0.5,0,0,-,1,22.7,2,1,0
2,"5/1/2023, 7:20:22 AM","5/1/2023, 7:55:17 AM",N,1,43,170,1,4.01,31,0,0.5,7.05,0,-,1,42.3,1,1,2.75
2,"5/1/2023, 7:17:50 AM","5/1/2023, 7:38:36 AM",N,1,129,182,1,0,17,0,0.5,0,6.55,-,1,25.05,2,1,0
2,"5/1/2023, 7:13:43 AM","5/1/2023, 7:27:41 AM",N,1,74,138,1,6.83,28.2,5,0.5,8.25,6.55,-,1,49.5,1,1,0
2,"5/1/2023, 7:09:18 AM","5/1/2023, 7:22:17 AM",N,1,166,43,1,2.69,16.3,0,0.5,5.14,0,-,1,25.69,1,1,2.75
2,"5/1/2023, 7:35:50 AM","5/1/2023, 7:42:05 AM",N,1,75,236,1,1.16,8.6,0,0.5,2.57,0,-,1,15.42,1,1,2.75
