VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,"4/30/2023, 8:47:57 PM","4/30/2023, 8:56:01 PM",1,1.87,1,N,170,90,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
1,"4/30/2023, 8:12:10 PM","4/30/2023, 8:22:43 PM",1,2.7,1,N,249,163,2,13.5,3.5,0.5,0,0,1,18.5,2.5,0
1,"4/30/2023, 8:45:38 PM","4/30/2023, 8:53:43 PM",2,1.7,1,N,107,232,2,10.7,3.5,0.5,0,0,1,15.7,2.5,0
2,"4/30/2023, 8:24:14 PM","4/30/2023, 8:58:14 PM",2,13.26,1,N,132,33,1,54.1,1,0.5,11.32,0,1,69.67,0,1.75
1,"4/30/2023, 8:57:44 PM","4/30/2023, 9:14:50 PM",3,10.4,1,N,138,229,1,40.1,10.25,0.5,5,6.55,1,63.4,2.5,1.75
1,"4/30/2023, 8:02:01 PM","4/30/2023, 8:25:59 PM",1,6.3,1,N,161,255,1,30.3,3.5,0.5,0,0,1,35.3,2.5,0
1,"4/30/2023, 8:51:17 PM","4/30/2023, 9:14:20 PM",1,10.7,1,N,138,258,1,43.6,7.75,0.5,0,0,1,52.85,0,1.75
1,"4/30/2023, 8:21:11 PM","4/30/2023, 8:39:53 PM",1,5.1,1,N,107,7,1,23.3,3.5,0.5,2,0,1,30.3,2.5,0
2,"4/30/2023, 8:07:29 PM","4/30/2023, 8:14:30 PM",1,2.37,1,N,141,145,1,12.1,1,0.5,3,0,1,20.1,2.5,0
2,"4/30/2023, 8:35:05 PM","4/30/2023, 8:57:22 PM",1,10.78,1,N,138,158,1,42.9,6,0.5,14.86,6.55,1,76.06,2.5,1.75
2,"4/30/2023, 8:27:48 PM","4/30/2023, 8:36:20 PM",1,2.96,1,N,249,48,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,"4/30/2023, 8:53:01 PM","4/30/2023, 9:01:03 PM",2,1.61,1,N,107,211,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,"4/30/2023, 8:30:53 PM","4/30/2023, 8:45:29 PM",1,8.45,1,N,138,262,1,33.1,6,0.5,10.28,6.55,1,61.68,2.5,1.75
2,"4/30/2023, 8:51:45 PM","4/30/2023, 9:24:38 PM",1,18.65,2,N,132,249,1,70,0,0.5,14,6.55,1,94.55,2.5,0
1,"4/30/2023, 8:12:32 PM","4/30/2023, 8:45:31 PM",1,23.9,1,N,132,220,1,86.3,2.75,0.5,5,6.55,1,102.1,0,1.75
2,"4/30/2023, 8:06:49 PM","4/30/2023, 8:30:41 PM",1,16.13,1,N,138,14,1,60.4,6,0.5,16.98,0,1,86.63,0,1.75
2,"4/30/2023, 8:52:10 PM","4/30/2023, 8:56:53 PM",3,1.09,1,N,48,186,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,"4/30/2023, 8:57:54 PM","4/30/2023, 9:16:29 PM",1,6.03,1,N,148,238,1,26.1,1,0.5,6.22,0,1,37.32,2.5,0
2,"4/30/2023, 8:08:31 PM","4/30/2023, 8:21:39 PM",1,6.77,1,N,138,145,1,27.5,6,0.5,3,0,1,39.75,0,1.75
2,"4/30/2023, 8:53:32 PM","4/30/2023, 9:07:04 PM",1,8.06,1,N,138,236,1,32.4,6,0.5,9.79,6.55,1,60.49,2.5,1.75
2,"4/30/2023, 8:16:14 PM","4/30/2023, 8:51:29 PM",1,26.43,1,N,132,257,1,95.4,1,0.5,19.58,0,1,117.48,0,0
2,"4/30/2023, 8:30:23 PM","4/30/2023, 8:55:48 PM",1,18.73,2,N,132,262,1,70,0,0.5,16.11,6.55,1,98.41,2.5,1.75
2,"4/30/2023, 8:29:00 PM","4/30/2023, 8:57:36 PM",1,10.94,1,N,132,62,1,45,1,0.5,3,0,1,52.25,0,1.75
2,"4/30/2023, 8:30:22 PM","4/30/2023, 8:51:47 PM",1,7.28,1,N,146,249,1,32.4,1,0.5,3,0,1,40.4,2.5,0
2,"4/30/2023, 8:32:20 PM","4/30/2023, 8:33:59 PM",1,0.62,1,N,231,231,1,5.1,1,0.5,3.03,0,1,13.13,2.5,0
1,"4/30/2023, 8:06:03 PM","4/30/2023, 8:28:16 PM",1,7.6,1,N,246,116,1,33.1,3.5,0.5,7.6,0,1,45.7,2.5,0
2,"4/30/2023, 8:04:32 PM","4/30/2023, 8:36:09 PM",1,8.06,1,N,186,62,1,38,1,0.5,8.6,0,1,51.6,2.5,0
2,"4/30/2023, 8:45:41 PM","4/30/2023, 9:06:10 PM",1,8.1,1,N,132,122,2,34.5,1,0.5,0,0,1,38.75,0,1.75
1,"4/30/2023, 8:18:26 PM","4/30/2023, 8:28:42 PM",1,2.5,1,N,237,68,1,13.5,3.5,0.5,3.7,0,1,22.2,2.5,0
2,"4/30/2023, 8:36:54 PM","4/30/2023, 8:51:03 PM",1,7.02,1,N,236,235,2,27.5,1,0.5,0,0,1,32.5,2.5,0
2,"4/30/2023, 8:17:11 PM","4/30/2023, 8:42:05 PM",1,9.16,1,N,138,225,1,39.4,6,0.5,9.73,0,1,58.38,0,1.75
1,"4/30/2023, 8:19:09 PM","4/30/2023, 8:34:26 PM",1,7.9,1,N,138,170,1,31,10.25,0.5,5,6.55,1,54.3,2.5,1.75
1,"4/30/2023, 8:08:34 PM","4/30/2023, 8:27:25 PM",3,9,1,N,138,48,1,36.6,10.25,0.5,10.95,6.55,1,65.85,2.5,1.75
2,"4/30/2023, 8:25:25 PM","4/30/2023, 9:01:42 PM",1,19.38,2,N,132,114,1,70,0,0.5,14.8,0,1,88.8,2.5,0
2,"4/30/2023, 8:17:18 PM","4/30/2023, 8:21:30 PM",1,0.71,1,N,162,233,1,6.5,1,0.5,4.5,0,1,16,2.5,0
2,"4/30/2023, 8:42:15 PM","4/30/2023, 8:49:06 PM",1,1.08,1,N,163,141,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,"4/30/2023, 8:21:00 PM","4/30/2023, 8:54:46 PM",1,18.19,1,N,70,254,1,68.8,6,0.5,5,6.55,1,89.6,0,1.75
1,"4/30/2023, 8:56:30 PM","4/30/2023, 9:08:54 PM",1,3.7,1,N,138,7,1,17,7.75,0.5,5.25,0,1,31.5,0,1.75
2,"4/30/2023, 8:13:12 PM","4/30/2023, 8:22:26 PM",2,2.19,1,N,229,68,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,"4/30/2023, 8:11:41 PM","4/30/2023, 8:43:49 PM",2,13.26,1,N,132,257,1,53.4,1,0.5,8,0,1,65.65,0,1.75
2,"4/30/2023, 8:46:42 PM","4/30/2023, 9:01:35 PM",1,4.09,1,N,107,145,1,20.5,1,0.5,6.41,6.55,1,38.46,2.5,0
2,"4/30/2023, 8:06:13 PM","5/1/2023, 7:49:47 PM",1,1.5,1,N,249,4,1,11.4,1,0.5,0,0,1,16.4,2.5,0
2,"4/30/2023, 8:33:13 PM","4/30/2023, 8:57:13 PM",1,7.9,1,N,148,166,1,32.4,1,0.5,7.48,0,1,44.88,2.5,0
1,"4/30/2023, 8:00:23 PM","4/30/2023, 8:12:51 PM",1,7.1,1,N,138,255,1,28.9,7.75,0.5,7.6,0,1,45.75,0,1.75
